genome	number of scaffolds	taxonomy	5S rRNA	16S rRNA	23S rRNA	tRNA count
ERR4835851_bin.23	92	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Clostridium_A;s__	ERR4835851_bin.23_NODE_8769_length_3330_cov_17.616794 (1288, 1397)			40
ERR4835851_bin.26	62	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__TANB77;f__CAG-508;g__CAG-269;s__	2 present			31
ERR4835853_bin.15	146	d__Bacteria;p__Firmicutes_A;c__Clostridia_A;o__Christensenellales;f__UBA3700;g__CABKMX01;s__	2 present			34
ERR4835853_bin.4	60	d__Bacteria;p__Firmicutes_A;c__Clostridia_A;o__Christensenellales;f__UBA1242;g__UBA6345;s__		ERR4835853_bin.4_NODE_1318_length_10796_cov_7.518667 (1, 482)		36
ERR4835854_bin.13	84	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Mediterraneibacter;s__				42
ERR4835856_bin.17	77	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__TANB77;f__CAG-508;g__CAG-354;s__CAG-354 sp001915925				33
ERR4835857_bin.17	56	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__TANB77;f__CAG-508;g__CAG-245;s__				28
ERR4835857_bin.2	51	d__Bacteria;p__Firmicutes_A;c__Clostridia_A;o__Christensenellales;f__Borkfalkiaceae;g__UBA11940;s__	7 present	ERR4835857_bin.2_NODE_387_length_28362_cov_47.493694 (314, 1808)		39
ERR4835858_bin.17	45	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Anaerosacchariphilus;s__Anaerosacchariphilus sp002160765				47
ERR4835858_bin.25	48	d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Massilicoli;s__Massilicoli timonensis				44
ERR4835858_bin.28	85	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia;s__Blautia sp002161285				29
ERR4835858_bin.7	179	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__UMGS1872;s__	ERR4835858_bin.7_NODE_2036_length_10992_cov_60.917802 (10781, 10886)			32
ERR4835859_bin.17	35	d__Bacteria;p__Firmicutes;c__Bacilli;o__RF39;f__UBA660;g__HGM10873;s__HGM10873 sp900753645	ERR4835859_bin.17_NODE_366_length_51505_cov_10.117104 (208, 278)			31
ERR4835860_bin.12	133	d__Bacteria;p__Firmicutes;c__Bacilli;o__RF39;f__UBA660;g__CAG-451;s__				29
ERR4835860_bin.27	22	d__Bacteria;p__Firmicutes_A;c__Clostridia_A;o__Christensenellales;f__UBA1242;g__UBA4626;s__	ERR4835860_bin.27_NODE_637_length_27326_cov_20.941073 (594, 706)	ERR4835860_bin.27_NODE_154_length_69419_cov_21.802996 (68013, 69419)	ERR4835860_bin.27_NODE_3123_length_8746_cov_19.825797 (7565, 8744)	34
ERR4835861_bin.18	368	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Butyricicoccaceae;g__Agathobaculum;s__				34
ERR4835861_bin.32	32	d__Bacteria;p__Firmicutes_A;c__Clostridia_A;o__Christensenellales;f__UBA1242;g__UBA6345;s__				33
ERR4835861_bin.33	95	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Pseudoflavonifractor;s__	ERR4835861_bin.33_NODE_846_length_25235_cov_29.084353 (117, 224)			27
ERR4835861_bin.40	21	d__Bacteria;p__Firmicutes;c__Bacilli;o__RF39;f__UBA660;g__HGM10873;s__	ERR4835861_bin.40_NODE_74_length_99874_cov_35.877779 (99400, 99470)	ERR4835861_bin.40_NODE_31_length_161989_cov_36.678468 (160401, 161987)		37
ERR4835863_bin.21	166	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Anaerotignaceae;g__ASF356;s__				30
ERR4835864_bin.19	139	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Flavonifractor;s__	ERR4835864_bin.19_NODE_225_length_74404_cov_19.134514 (74319, 74404)			46
ERR4835864_bin.21	41	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Butyricicoccaceae;g__Butyricicoccus;s__	4 present			37
ERR4835864_bin.23	24	d__Bacteria;p__Firmicutes;c__Bacilli;o__RF39;f__UBA660;g__HGM10873;s__	ERR4835864_bin.23_NODE_171_length_91236_cov_141.837839 (87945, 88019)		ERR4835864_bin.23_NODE_171_length_91236_cov_141.837839 (88091, 91011)	33
ERR4835864_bin.28	7	d__Bacteria;p__Cyanobacteria;c__Vampirovibrionia;o__Gastranaerophilales;f__Gastranaerophilaceae;g__Zag1;s__Zag1 sp000438175	ERR4835864_bin.28_NODE_29_length_255046_cov_107.239428 (253158, 253258)		ERR4835864_bin.28_NODE_29_length_255046_cov_107.239428 (253481, 255046)	41
ERR4835864_bin.33	24	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__TANB77;f__CAG-508;g__UBA7001;s__UBA7001 sp900553685				33
ERR4835864_bin.34	41	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides congonensis	ERR4835864_bin.34_NODE_523_length_38604_cov_33.776363 (36904, 37009)		ERR4835864_bin.34_NODE_523_length_38604_cov_33.776363 (37112, 38600)	56
ERR4835864_bin.40	84	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia_A;s__				44
ERR4835866_bin.13	59	d__Bacteria;p__Firmicutes_A;c__Clostridia_A;o__Christensenellales;f__UBA1242;g__UBA11517;s__				17
ERR4835866_bin.35	116	d__Bacteria;p__Firmicutes_A;c__Clostridia_A;o__Christensenellales;f__UBA1242;g__UBA11517;s__				25
ERR4835866_bin.39	302	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Gemmiger;s__				31
ERR4835866_bin.4	102	d__Bacteria;p__Firmicutes;c__Bacilli;o__RF39;f__UBA660;g__CAG-451;s__				25
ERR4835866_bin.40	133	d__Bacteria;p__Firmicutes;c__Bacilli;o__RF39;f__UBA660;g__HGM10818;s__	ERR4835866_bin.40_NODE_4113_length_8828_cov_11.790038 (3, 67)			13
ERR4835868_bin.3	97	d__Bacteria;p__Firmicutes_A;c__Clostridia_A;o__Christensenellales;f__Borkfalkiaceae;g__Borkfalkia;s__				33
ERR4835868_bin.6	67	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Acutalibacter;s__	3 present			30
ERR4835869_bin.10	52	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__TANB77;f__CAG-508;g__CAG-273;s__		ERR4835869_bin.10_NODE_2853_length_12537_cov_25.623698 (1, 818)		37
ERR4835869_bin.30	98	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Mediterraneibacter;s__				39
ERR4835869_bin.4	50	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Butyricicoccaceae;g__Butyricicoccus;s__Butyricicoccus sp900604335	3 present			43
ERR4835869_bin.45	84	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Enterocloster;s__				44
ERR4835869_bin.47	81	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus crispatus				42
ERR4835870_bin.17	190	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__UBA5446;s__	ERR4835870_bin.17_NODE_15892_length_2805_cov_16.834909 (2638, 2748)			31
ERR4835871_bin.25	45	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__UMGS1826;s__	ERR4835871_bin.25_NODE_648_length_36193_cov_37.673142 (265, 365)			44
ERR4835871_bin.4	75	d__Bacteria;p__Firmicutes_A;c__Clostridia_A;o__Christensenellales;f__Borkfalkiaceae;g__Borkfalkia;s__				42
ERR4835932_bin.29	28	d__Bacteria;p__Cyanobacteria;c__Vampirovibrionia;o__Gastranaerophilales;f__Gastranaerophilaceae;g__QAMI01;s__	ERR4835932_bin.29_NODE_1347_length_19224_cov_45.977724 (18174, 18274)		ERR4835932_bin.29_NODE_1347_length_19224_cov_45.977724 (18390, 19221)	40
ERR4835932_bin.32	25	d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Helicobacteraceae;g__Helicobacter_D;s__Helicobacter_D pullorum		ERR4835932_bin.32_NODE_1586_length_16767_cov_64.505385 (12867, 14361)	ERR4835932_bin.32_NODE_1586_length_16767_cov_64.505385 (14836, 16767)	36
ERR4835932_bin.7	66	d__Bacteria;p__Cyanobacteria;c__Vampirovibrionia;o__Gastranaerophilales;f__Gastranaerophilaceae;g__CAG-484;s__				39
ERR4835933_bin.1	51	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__TANB77;f__CAG-508;g__CAG-273;s__				33
ERR4835934_bin.22	120	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium sp002160895	ERR4835934_bin.22_NODE_269_length_42358_cov_53.959601 (11351, 11461)			46
ERR4835934_bin.5	28	d__Bacteria;p__Cyanobacteria;c__Vampirovibrionia;o__Gastranaerophilales;f__;g__;s__	ERR4835934_bin.5_NODE_104_length_69875_cov_34.796104 (715, 817)	ERR4835934_bin.5_NODE_3_length_378491_cov_35.917008 (1110, 2629)	ERR4835934_bin.5_NODE_3_length_378491_cov_35.917008 (1, 871)	44
ERR4835935_bin.24	128	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Mediterraneibacter;s__				31
ERR4835935_bin.42	50	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Butyricicoccaceae;g__Agathobaculum;s__	ERR4835935_bin.42_NODE_3640_length_10501_cov_99.248803 (10336, 10431)			47
ERR4835989_bin.49	155	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Gemmiger;s__Gemmiger sp900548355				36
ERR4835990_bin.24	46	d__Bacteria;p__Firmicutes_A;c__Clostridia_A;o__Christensenellales;f__Borkfalkiaceae;g__Borkfalkia;s__	ERR4835990_bin.24_NODE_992_length_28224_cov_29.365224 (784, 892)			43
ERR4835990_bin.26	23	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__TANB77;f__CAG-508;g__CAG-273;s__				34
ERR4835990_bin.33	353	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia;s__	ERR4835990_bin.33_NODE_9426_length_4252_cov_7.645461 (3743, 3851)			8
ERR4835990_bin.4	49	d__Bacteria;p__Firmicutes_A;c__Clostridia_A;o__Christensenellales;f__Borkfalkiaceae;g__Borkfalkia;s__	ERR4835990_bin.4_NODE_301_length_61263_cov_61.458143 (61180, 61262)	ERR4835990_bin.4_NODE_11018_length_3726_cov_60.226096 (2943, 3726)		33
ERR4835991_bin.6	277	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__UBA1375;s__				30
ERR4835993_bin.14	127	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__;s__				29
ERR4835993_bin.35	108	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Eisenbergiella;s__				30
ERR4835993_bin.38	51	d__Bacteria;p__Firmicutes_A;c__Clostridia_A;o__Christensenellales;f__Borkfalkiaceae;g__UBA11940;s__	3 present			40
ERR4835994_bin.28	215	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Dysosmobacter;s__	ERR4835994_bin.28_NODE_221_length_51592_cov_13.270058 (51270, 51375)			13
ERR4835994_bin.32	67	d__Bacteria;p__Firmicutes;c__Bacilli;o__RF39;f__UBA660;g__CAG-988;s__CAG-988 sp003149915		ERR4835994_bin.32_NODE_1907_length_13525_cov_70.379213 (1, 843)		35
ERR4835994_bin.4	101	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Mediterraneibacter;s__				35
ERR4835995_bin.4	15	d__Bacteria;p__Firmicutes_A;c__Clostridia_A;o__Christensenellales;f__UBA1242;g__UBA11517;s__	ERR4835995_bin.4_NODE_269_length_73329_cov_10.656468 (72706, 72812)		ERR4835995_bin.4_NODE_853_length_35618_cov_10.382617 (2, 1043)	25
ERR4835995_bin.52	151	d__Bacteria;p__Firmicutes_A;c__Clostridia_A;o__Christensenellales;f__CAG-74;g__UMGS1600;s__UMGS1600 sp900553295				41
ERR4835995_bin.58	140	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__UBA1448;s__	3 present		ERR4835995_bin.58_NODE_645_length_42710_cov_15.850498 (1, 1934)	52
ERR4835996_bin.41	59	d__Bacteria;p__Firmicutes;c__Bacilli;o__RF39;f__UBA660;g__CAG-822;s__	ERR4835996_bin.41_NODE_1490_length_18480_cov_24.022361 (389, 459)	ERR4835996_bin.41_NODE_6857_length_5735_cov_27.999120 (4629, 5735)		27
ERR4835996_bin.8	84	d__Bacteria;p__Firmicutes_A;c__Clostridia_A;o__Christensenellales;f__Borkfalkiaceae;g__Borkfalkia;s__				31
ERR4836027_bin.10	162	d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelatoclostridiaceae;g__Massiliomicrobiota;s__Massiliomicrobiota sp002160865				29
ERR4836027_bin.15	50	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__TANB77;f__CAG-508;g__CAG-273;s__	ERR4836027_bin.15_NODE_995_length_24409_cov_14.781884 (24178, 24290)			29
ERR4836027_bin.2	78	d__Bacteria;p__Firmicutes;c__Bacilli;o__RF39;f__UBA660;g__CAG-460;s__		ERR4836027_bin.2_NODE_2644_length_12295_cov_40.818382 (11890, 12294)	ERR4836027_bin.2_NODE_618_length_32898_cov_38.629936 (32036, 32898)	25
ERR4836027_bin.29	67	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__TANB77;f__CAG-508;g__CAG-273;s__	ERR4836027_bin.29_NODE_2542_length_12628_cov_10.361171 (250, 362)			19
ERR4836027_bin.3	59	d__Bacteria;p__Firmicutes;c__Bacilli;o__RF39;f__UBA660;g__UMGS2016;s__	ERR4836027_bin.3_NODE_1137_length_22153_cov_22.270839 (21966, 22040)	ERR4836027_bin.3_NODE_1487_length_18166_cov_23.440119 (1, 602)		30
ERR4836028_bin.15	58	d__Bacteria;p__Firmicutes_A;c__Clostridia_A;o__Christensenellales;f__Borkfalkiaceae;g__UMGS1004;s__	ERR4836028_bin.15_NODE_984_length_23190_cov_21.571947 (23110, 23189)			30
ERR4836028_bin.18	41	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__TANB77;f__CAG-508;g__CAG-269;s__	2 present			34
ERR4836028_bin.8	79	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Mediterraneibacter;s__				41
ERR4836036_bin.3	92	d__Bacteria;p__Firmicutes;c__Bacilli;o__RF39;f__UBA660;g__CAG-988;s__				21
ERR4836036_bin.31	39	d__Bacteria;p__Cyanobacteria;c__Vampirovibrionia;o__Gastranaerophilales;f__Gastranaerophilaceae;g__;s__	ERR4836036_bin.31_NODE_1950_length_16601_cov_35.336396 (16321, 16420)			40
ERR4836036_bin.37	130	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Hydrogeniiclostridium;s__	2 present		2 present	41
ERR4836036_bin.41	23	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__TANB77;f__CAG-465;g__;s__				32
ERR4836036_bin.47	71	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__TANB77;f__CAG-508;g__CAG-273;s__	ERR4836036_bin.47_NODE_13887_length_3491_cov_22.498254 (3310, 3421)			25
ERR4836036_bin.5	31	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__TANB77;f__CAG-508;g__UBA7001;s__				27
ERR4836037_bin.21	40	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes sp002161445				44
ERR4836037_bin.28	73	d__Bacteria;p__Firmicutes_A;c__Clostridia_A;o__Christensenellales;f__Borkfalkiaceae;g__QALS01;s__		ERR4836037_bin.28_NODE_8419_length_8309_cov_113.362491 (1, 762)		33
ERR4836885_bin.19	326	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__UMGS1826;s__				38
ERR4836885_bin.39	121	d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Merdibacter;s__				30
ERR4836886_bin.12	14	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__CAG-180;s__	ERR4836886_bin.12_NODE_129_length_64063_cov_26.401669 (35189, 35299)			38
ERR4836886_bin.36	131	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__;s__	ERR4836886_bin.36_NODE_5235_length_7899_cov_13.884753 (7615, 7725)			40
ERR4836886_bin.6	90	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__UMGS1397;s__	3 present			39
ERR4836886_bin.9	116	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Gemmiger;s__				19
ERR4836887_bin.32	93	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__TANB77;f__CAG-508;g__CAG-273;s__				29
ERR4836887_bin.35	29	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__TANB77;f__CAG-508;g__CAG-273;s__	2 present			34
ERR4836887_bin.54	248	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__				57
ERR4836887_bin.5	64	d__Bacteria;p__Firmicutes_A;c__Clostridia_A;o__Christensenellales;f__UBA1242;g__UBA11517;s__	ERR4836887_bin.5_NODE_6473_length_6810_cov_7.687639 (247, 354)			17
ERR4836888_bin.14	44	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__TANB77;f__CAG-508;g__CAG-793;s__				31
ERR4836888_bin.30	53	d__Bacteria;p__Firmicutes_A;c__Clostridia_A;o__Christensenellales;f__CAG-552;g__UMGS1880;s__		ERR4836888_bin.30_NODE_972_length_30468_cov_11.752704 (2, 672)		42
ERR4836889_bin.13	99	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Parasutterella;s__Parasutterella sp000980495				51
ERR4836889_bin.41	201	d__Bacteria;p__Firmicutes_A;c__Clostridia_A;o__Christensenellales;f__Borkfalkiaceae;g__Borkfalkia;s__	ERR4836889_bin.41_NODE_19524_length_2725_cov_9.886142 (2254, 2361)			28
ERR4836889_bin.9	90	d__Bacteria;p__Firmicutes;c__Bacilli;o__RF39;f__UBA660;g__UMGS1217;s__	ERR4836889_bin.9_NODE_1055_length_25246_cov_14.177127 (264, 334)			17
ERR4836908_bin.15	167	d__Bacteria;p__Firmicutes_A;c__Clostridia_A;o__Christensenellales;f__Borkfalkiaceae;g__Borkfalkia;s__				6
ERR4836908_bin.3	26	d__Bacteria;p__Firmicutes_B;c__Dehalobacteriia;o__UBA4068;f__UBA5755;g__;s__				42
ERR4836908_bin.35	25	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__TANB77;f__CAG-508;g__UMGS1994;s__				32
ERR4836908_bin.42	98	d__Bacteria;p__Firmicutes_A;c__Clostridia_A;o__Christensenellales;f__UBA1242;g__UBA4626;s__				15
ERR4836908_bin.47	66	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__TANB77;f__CAG-508;g__CAG-273;s__	ERR4836908_bin.47_NODE_14926_length_4538_cov_16.517064 (4435, 4535)			26
ERR4836908_bin.48	31	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__TANB77;f__CAG-508;g__UBA7001;s__	2 present	ERR4836908_bin.48_NODE_1080_length_29066_cov_27.794147 (1, 904)		26
ERR4836908_bin.60	48	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes sp900544265				34
ERR4836913_bin.14	29	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__				40
ERR4836913_bin.18	417	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides eggerthii				20
ERR4836913_bin.8	23	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__CAG-521;s__		ERR4836913_bin.8_NODE_91_length_75068_cov_14.074107 (73500, 75026)		52
ERR4836918_bin.11	31	d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Campylobacteraceae;g__Campylobacter_D;s__Campylobacter_D jejuni				34
ERR4836918_bin.17	112	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__TANB77;f__CAG-508;g__CAG-269;s__	ERR4836918_bin.17_NODE_135_length_60242_cov_12.684699 (59893, 59989)			30
ERR4836921_bin.30	153	d__Bacteria;p__Firmicutes_A;c__Clostridia_A;o__Christensenellales;f__Borkfalkiaceae;g__QALS01;s__				28
ERR4836924_bin.33	97	d__Bacteria;p__Firmicutes;c__Bacilli;o__RF39;f__UBA660;g__UMGS1217;s__	ERR4836924_bin.33_NODE_4389_length_6631_cov_15.754106 (6530, 6604)			20
ERR4836924_bin.7	107	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__TANB77;f__CAG-508;g__CAG-269;s__	ERR4836924_bin.7_NODE_8160_length_4240_cov_25.328076 (4017, 4115)			29
ERR4836925_bin.12	221	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Mediterraneibacter;s__				23
ERR4836925_bin.17	31	d__Bacteria;p__Firmicutes;c__Bacilli;o__RF39;f__UBA660;g__CAG-877;s__CAG-877 sp900554305				36
ERR4836925_bin.9	57	d__Bacteria;p__Cyanobacteria;c__Vampirovibrionia;o__Gastranaerophilales;f__Gastranaerophilaceae;g__CAG-306;s__		ERR4836925_bin.9_NODE_2650_length_6439_cov_15.997180 (5761, 6438)		33
ERR4836926_bin.106	61	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Anaerotruncus;s__Anaerotruncus colihominis	ERR4836926_bin.106_NODE_2001_length_30189_cov_73.848975 (30103, 30188)			23
ERR4836926_bin.107	151	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__TANB77;f__CAG-508;g__CAG-269;s__				13
ERR4836926_bin.22	16	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes putredinis				38
ERR4836926_bin.25	99	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Negativibacillus;s__Negativibacillus massiliensis	ERR4836926_bin.25_NODE_869_length_48929_cov_12.280804 (99, 206)			25
ERR4836926_bin.28	154	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__UBA9475;s__				28
ERR4836926_bin.3	279	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__UBA5446;s__UBA5446 sp900543085				31
ERR4836926_bin.42	250	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__;s__				23
ERR4836926_bin.49	88	d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelatoclostridiaceae;g__Massiliomicrobiota;s__Massiliomicrobiota sp002160815				49
ERR4836926_bin.59	107	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__UBA1448;s__	2 present			47
ERR4836926_bin.71	189	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Ruthenibacterium;s__				25
ERR4836926_bin.81	59	d__Bacteria;p__Firmicutes_A;c__Clostridia_A;o__Christensenellales;f__Borkfalkiaceae;g__UMGS1004;s__UMGS1004 sp003343805				42
ERR4836926_bin.83	108	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__UBA737;s__	ERR4836926_bin.83_NODE_1807_length_32129_cov_21.069496 (148, 260)			27
ERR4836928_bin.17	77	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__TANB77;f__CAG-508;g__CAG-269;s__				16
ERR4836928_bin.22	102	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__TANB77;f__CAG-508;g__CAG-269;s__				33
ERR4836928_bin.27	54	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides togonis				43
ERR4836928_bin.7	55	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Phocaeicola;s__Phocaeicola sp900540105				26
ERR4836928_bin.9	88	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__CAG-521;s__CAG-521 sp900544345		ERR4836928_bin.9_NODE_8392_length_3113_cov_12.508502 (2, 436)		43
ERR4836929_bin.13	58	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia;s__				33
ERR4836929_bin.8	85	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnoclostridium_B;s__Lachnoclostridium_B sp000765215				30
ERR4836930_bin.26	35	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Barnesiellaceae;g__Barnesiella;s__Barnesiella sp002159975				46
ERR4836932_bin.6	186	d__Bacteria;p__Desulfobacterota;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Mailhella;s__Mailhella sp003150275				44
ERR4836934_bin.21	38	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides clarus				23
ERR4836934_bin.35	539	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Coprobacteraceae;g__Coprobacter;s__Coprobacter secundus				10
ERR4836935_bin.21	65	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Marinifilaceae;g__Butyricimonas;s__	2 present			48
ERR4836935_bin.26	11	d__Bacteria;p__Firmicutes_A;c__Clostridia_A;o__Christensenellales;f__UBA1242;g__UBA11517;s__	ERR4836935_bin.26_NODE_3709_length_9896_cov_59.878061 (9803, 9893)		ERR4836935_bin.26_NODE_90_length_141362_cov_59.499650 (138869, 141362)	42
